Workno,Fname,Lastname,Password,Assets,Income,Liabilities,NetWorth,Experience,Salaries_Income
24591,CRUZ,FRANKS,1090,41978041,10783125,757097,52004069,20,450000
24592,HUGHES,CORONA,1090,29781664,6010929,951774,34840819,15,400000
24593,PRICE,KENDALL,1090,25330976,7700849,975870,32055955,15,400000
24594,MYERS,MCCABE,1090,19845539,18915313,409820,38351032,15,400000
24595,LONG,HENDRICKSON,1090,12279080,16155189,199705,28234564,10,300000
24596,FOSTER,MOSER,1090,23267264,1742319,837371,24172212,10,300000
24597,SANDERS,MCDERMOTT,1090,2200110,15953920,690209,17463821,8,250000
24598,ROSS,CAMP,1090,22384687,5310494,122574,27572607,10,300000
24599,MORALES,MCLEOD,1090,25719680,18844759,622636,43941803,20,450000
24600,POWELL,BERNAL,1090,48632555,15253605,952655,62933505,30,500000
24601,SULLIVAN,KAPLAN,1090,5344096,1878685,281112,6941669,5,150000
24602,RUSSELL,MEDRANO,1090,24976426,13043735,239453,37780708,15,400000
24603,ORTIZ,LUGO,1090,1799412,12952433,891311,13860534,8,250000
24604,JENKINS,TRACY,1090,24875304,16388787,127320,41136771,20,450000
24605,GUTIERREZ,BACON,1090,28459698,9710474,740842,37429330,15,400000
24606,PERRY,CROWE,1090,22175294,10763988,275964,32663318,15,400000
24607,BUTLER,RICHTER,1090,15591013,13704255,464722,28830546,10,300000
24608,BARNES,WELSH,1090,18740629,18808708,775920,36773417,15,400000
24609,FISHER,HOLLEY,1090,42181809,3132897,604793,44709913,20,450000
24610,HENDERSON,RATLIFF,1090,18464749,1837972,589571,19713150,8,250000
24611,COLEMAN,MAYFIELD,1090,37444985,18141714,275055,55311644,20,450000
24612,SIMMONS,TALLEY,1090,42140630,8214248,327924,50026954,20,450000
24613,PATTERSON,HAINES,1090,19478092,5036084,986419,23527757,10,300000
24614,JORDAN,DALE,1090,32393690,10133183,504793,42022080,20,450000
24615,REYNOLDS,GIBBONS,1090,9847484,9113726,325545,18635665,8,250000
24616,HAMILTON,HICKEY,1090,24811863,2821317,185346,27447834,10,300000
24617,GRAHAM,BYRNE,1090,44746468,3079817,884574,46941711,20,450000
24618,KIM,KIRKLAND,1090,17366631,10134620,396162,27105089,10,300000
24619,GONZALES,FARRIS,1090,47774171,9363529,282808,56854892,20,450000
24620,ALEXANDER,CORREA,1090,43176968,17654020,29092,60801896,30,500000
24621,RAMOS,TILLMAN,1090,8105803,8898168,677279,16326692,8,250000
24622,WALLACE,SWEET,1090,22220159,9055878,202483,31073554,15,400000
24623,GRIFFIN,KESSLER,1090,39138209,3982782,804183,42316808,20,450000
24624,WEST,ENGLAND,1090,17555334,4203249,508978,21249605,10,300000
24625,COLE,HEWITT,1090,16296288,11117026,436803,26976511,10,300000
24626,HAYES,BLANCO,1090,34431694,4760001,337819,38853876,15,400000
24627,CHAVEZ,CONNOLLY,1090,26441072,12903764,234237,39110599,15,400000
24628,GIBSON,PATE,1090,41288642,3172208,918004,43542846,20,450000
24629,BRYANT,ELDER,1090,44525744,12834209,23385,57336568,20,450000
24630,ELLIS,BRUNO,1090,19799573,15526364,528563,34797374,15,400000
24631,STEVENS,HOLCOMB,1090,47614138,16269165,457813,63425490,30,500000
24632,MURRAY,HYDE,1090,21219407,1599146,788345,22030208,10,300000
24633,FORD,MCALLISTER,1090,22320244,9962558,958001,31324801,15,400000
24634,MARSHALL,CASH,1090,585449,3059757,782802,2862404,4,100000
24635,OWENS,CHRISTOPHER,1090,40542410,1900605,886058,41556957,20,450000
24636,MCDONALD,WHITFIELD,1090,31820144,18306464,83840,50042768,20,450000
24637,HARRISON,MEEKS,1090,25619753,19492602,88640,45023715,20,450000
24638,RUIZ,HATCHER,1090,22353307,11278174,747926,32883555,15,400000
24639,KENNEDY,FINK,1090,7600700,19368896,670478,26299118,10,300000
24640,WELLS,SUTHERLAND,1090,32529458,19968130,936744,51560844,20,450000
24641,ALVAREZ,NOEL,1090,38011132,19944661,838043,57117750,20,450000
24642,WOODS,RITCHIE,1090,10828061,12446002,250524,23023539,10,300000
24643,MENDOZA,ROSA,1090,21964399,9792075,287824,31468650,15,400000
24644,CASTILLO,LEAL,1090,1726081,1301705,500591,2527195,4,100000
24645,OLSON,JOYNER,1090,37853600,11235780,559501,48529879,20,450000
24646,WEBB,STARR,1090,18791454,5554002,23446,24322010,10,300000
24647,WASHINGTON,MORIN,1090,32341829,9383477,307907,41417399,20,450000
24648,TUCKER,DELAROSA,1090,17706750,7622647,396946,24932451,10,300000
24649,FREEMAN,CONNOR,1090,10332572,11673423,619864,21386131,10,300000
24650,BURNS,HILTON,1090,25829092,11955734,456423,37328403,15,400000
24651,HENRY,ALSTON,1090,25532890,14682279,66615,40148554,20,450000
24652,VASQUEZ,GILLIAM,1090,32398677,13144196,459708,45083165,20,450000
24653,SNYDER,WYNN,1090,33068415,18665753,560662,51173506,20,450000
24654,SIMPSON,WILLS,1090,6988624,9459991,479625,15968990,8,250000
24655,CRAWFORD,JARAMILLO,1090,15445037,4375799,746650,19074186,8,250000
24656,JIMENEZ,ONEIL,1090,26023186,12559261,772248,37810199,15,400000
24657,PORTER,NIEVES,1090,37903162,1261757,793859,38371060,15,400000
24658,MASON,BRITTON,1090,27616174,13860449,120585,41356038,20,450000
24659,SHAW,RANKIN,1090,12271675,4212838,698675,15785838,8,250000
24660,GORDON,BELCHER,1090,21470943,7854771,343572,28982142,10,300000
24661,WAGNER,GUY,1090,5943707,8606345,786559,13763493,8,250000
24662,HUNTER,CHAMBERLAIN,1090,14903829,1742460,63847,16582442,8,250000
24663,ROMERO,TYSON,1090,16780277,16135773,445801,32470249,15,400000
24664,HICKS,PUCKETT,1090,23277054,13620359,121704,36775709,15,400000
24665,DIXON,DOWNING,1090,48315800,9381539,50155,57647184,20,450000
24666,HUNT,SHARPE,1090,47451036,19378266,204191,66625111,30,500000
24667,PALMER,BOGGS,1090,26058016,3808914,995042,28871888,10,300000
24668,ROBERTSON,TRUONG,1090,29302803,16843555,939804,45206554,20,450000
24669,BLACK,PIERSON,1090,22642879,15794705,543828,37893756,15,400000
24670,HOLMES,GODFREY,1090,49120888,17938159,834306,66224741,30,500000
24671,STONE,MOBLEY,1090,34463210,9150264,630431,42983043,20,450000
24672,MEYER,JOHN,1090,43631660,3703903,260283,47075280,20,450000
24673,BOYD,KERN,1090,24642330,4547729,844246,28345813,10,300000
24674,MILLS,DYE,1090,20212042,11659151,905444,30965749,15,400000
24675,WARREN,HOLLIS,1090,43813682,8668733,115503,52366912,20,450000
24676,FOX,BRAVO,1090,12103433,6384358,165810,18321981,8,250000
24677,ROSE,MAGANA,1090,15688132,14071271,956299,28803104,10,300000
24678,RICE,RUTHERFORD,1090,43530265,17514100,964448,60079917,30,500000
24679,MORENO,NG,1090,23781847,2428853,72451,26138249,10,300000
24680,SCHMIDT,TUTTLE,1090,13846750,11159721,377872,24628599,10,300000
24681,PATEL,LIM,1090,19003158,10603247,983966,28622439,10,300000
24682,FERGUSON,ROMANO,1090,46466257,18463838,980641,63949454,30,500000
24683,NICHOLS,TREJO,1090,4803334,10489686,202700,15090320,8,250000
24684,HERRERA,ARTHUR,1090,14088124,3953456,2715,18038865,8,250000
24685,MEDINA,KNOWLES,1090,17994381,10085775,951433,27128723,10,300000
24686,RYAN,LYON,1090,25169536,16700986,265309,41605213,20,450000
24687,FERNANDEZ,SHIRLEY,1090,12007376,8282927,532838,19757465,8,250000
24688,WEAVER,QUINONES,1090,36103597,8957154,388377,44672374,20,450000
24689,DANIELS,CHILDS,1090,40667253,16560955,703259,56524949,20,450000
24690,STEPHENS,DOLAN,1090,47260088,11056629,857705,57459012,20,450000
24691,GARDNER,HEAD,1090,47421945,14432206,312249,61541902,30,500000
24692,PAYNE,REYNA,1090,8151245,4989546,449024,12691767,8,250000
24693,KELLEY,SAENZ,1090,18858985,8415055,408451,26865589,10,300000
24694,DUNN,HASTINGS,1090,7300196,11311883,394700,18217379,8,250000
24695,PIERCE,KENNEY,1090,37995458,6163005,4116,44154347,20,450000
24696,ARNOLD,CANO,1090,31473663,11686789,682591,42477861,20,450000
24697,TRAN,FOREMAN,1090,10764616,11717255,347474,22134397,10,300000
24698,SPENCER,DENTON,1090,3511358,13666252,117822,17059788,8,250000
24699,PETERS,VILLALOBOS,1090,47690867,6311222,728549,53273540,20,450000
24700,HAWKINS,PRYOR,1090,36999282,17018549,502425,53515406,20,450000
24701,GRANT,SARGENT,1090,47959684,15944026,466708,63437002,30,500000
24702,HANSEN,DOHERTY,1090,33996320,10042910,447204,43592026,20,450000
24703,CASTRO,HOPPER,1090,21592450,7135916,992238,27736128,10,300000
24704,HOFFMAN,PHAN,1090,33391776,16411945,361682,49442039,20,450000
24705,HART,WOMACK,1090,2963387,11025132,321323,13667196,8,250000
24706,ELLIOTT,LOCKHART,1090,13719973,14889470,491745,28117698,10,300000
24707,CUNNINGHAM,VENTURA,1090,46905349,15479164,963059,61421454,30,500000
24708,KNIGHT,DWYER,1090,34298309,2521799,128220,36691888,15,400000
24709,BRADLEY,MULLER,1090,34783179,4313406,856517,38240068,15,400000
24710,CARROLL,GALINDO,1090,1226564,5788056,392052,6622568,5,150000
24711,HUDSON,GRACE,1090,41852535,5928328,312084,47468779,20,450000
24712,DUNCAN,SORENSEN,1090,1302366,6397572,462246,7237692,5,150000
24713,ARMSTRONG,COURTNEY,1090,22301985,12500029,274804,34527210,15,400000
24714,BERRY,PARRA,1090,36009470,8300406,855446,43454430,20,450000
24715,ANDREWS,RODRIGUES,1090,45500924,7208267,570127,52139064,20,450000
24716,JOHNSTON,NICHOLAS,1090,16618227,4154624,198216,20574635,10,300000
24717,RAY,AHMED,1090,21065966,12587931,946182,32707715,15,400000
24718,LANE,MCGINNIS,1090,27061032,17662010,743400,43979642,20,450000
24719,RILEY,LANGLEY,1090,22970020,3876408,414406,26432022,10,300000
24720,CARPENTER,MADISON,1090,5354608,6985994,396757,11943845,6,200000
24721,PERKINS,LOCKE,1090,12939160,11847827,70085,24716902,10,300000
24722,AGUILAR,JAMISON,1090,43333224,1329808,879463,43783569,20,450000
24723,SILVA,NAVA,1090,10678304,18153634,67606,28764332,10,300000
24724,RICHARDS,GUSTAFSON,1090,31904761,10253588,603608,41554741,20,450000
24725,WILLIS,SYKES,1090,49275615,12593025,418309,61450331,30,500000
24726,MATTHEWS,DEMPSEY,1090,43265907,8555170,120188,51700889,20,450000
24727,CHAPMAN,HAMM,1090,15503207,6369911,340785,21532333,10,300000
24728,LAWRENCE,RODRIQUEZ,1090,10745262,15969610,255138,26459734,10,300000
24729,GARZA,MCGILL,1090,3739042,17475670,848899,20365813,10,300000
24730,VARGAS,XIONG,1090,16962408,18442871,173217,35232062,15,400000
24731,WATKINS,ESQUIVEL,1090,18062311,14267584,806729,31523166,15,400000
24732,WHEELER,SIMMS,1090,35278233,1354930,801007,35832156,15,400000
24733,LARSON,KENDRICK,1090,40444985,4442014,721445,44165554,20,450000
24734,CARLSON,BOYCE,1090,12651710,4404209,884695,16171224,8,250000
24735,HARPER,VIGIL,1090,36409069,18120511,942927,53586653,20,450000
24736,GEORGE,DOWNEY,1090,38369549,7035635,565417,44839767,20,450000
24737,GREENE,MCKENNA,1090,30366743,9640193,572772,39434164,15,400000
24738,BURKE,SIERRA,1090,16242557,18986237,198464,35030330,15,400000
24739,GUZMAN,WEBBER,1090,5253761,12663742,439682,17477821,8,250000
24740,MORRISON,KIRKPATRICK,1090,17654231,19557621,824228,36387624,15,400000
24741,MUNOZ,DICKINSON,1090,14552981,13810547,363169,28000359,10,300000
24742,JACOBS,COUCH,1090,14786735,11812934,5298,26594371,10,300000
24743,OBRIEN,BURKS,1090,6217702,7765800,433510,13549992,8,250000
24744,LAWSON,SHEEHAN,1090,25323525,18245733,367,43568891,20,450000
24745,FRANKLIN,SLAUGHTER,1090,44780569,17906649,775283,61911935,30,500000
24746,LYNCH,PIKE,1090,46225552,18780156,746820,64258888,30,500000
24747,BISHOP,WHITLEY,1090,27782313,14125531,817117,41090727,20,450000
24748,CARR,MAGEE,1090,36529808,18800008,49240,55280576,20,450000
24749,SALAZAR,CHENG,1090,48032584,9135673,3209,57165048,20,450000
24750,AUSTIN,SINCLAIR,1090,28999846,18477948,667134,46810660,20,450000
24751,MENDEZ,CASSIDY,1090,43202389,6958853,586611,49574631,20,450000
24752,GILBERT,RUTLEDGE,1090,23734520,12003257,312381,35425396,15,400000
24753,JENSEN,BURRIS,1090,1880763,7675173,345660,9210276,6,200000
24754,WILLIAMSON,BOWLING,1090,43601870,1772490,692325,44682035,20,450000
24755,MONTGOMERY,CRABTREE,1090,29203896,12199461,393307,41010050,20,450000
24756,HARVEY,MCNAMARA,1090,22664515,19378952,429515,41613952,20,450000
24757,OLIVER,AVALOS,1090,3903935,18953767,46993,22810709,10,300000
24758,HOWELL,VU,1090,22164349,4278326,135496,26307179,10,300000
24759,DEAN,HERRON,1090,49636680,2610234,668744,51578170,20,450000
24760,HANSON,BROUSSARD,1090,35336239,17416013,101120,52651132,20,450000
24761,WEBER,ABRAHAM,1090,36863435,8569106,702864,44729677,20,450000
24762,GARRETT,GARLAND,1090,833392,7741016,581228,7993180,5,150000
24763,SIMS,CORBETT,1090,18688982,18142187,229216,36601953,15,400000
24764,BURTON,CORBIN,1090,2484654,15128345,769976,16843023,8,250000
24765,FULLER,STINSON,1090,27892049,11000063,543735,38348377,15,400000
24766,SOTO,CHIN,1090,46513508,9939576,586644,55866440,20,450000
24767,MCCOY,BURT,1090,28549321,6962178,434004,35077495,15,400000
24768,WELCH,HUTCHINS,1090,18690075,18759766,229549,37220292,15,400000
24769,CHEN,WOODRUFF,1090,42147759,4615998,123710,46640047,20,450000
24770,SCHULTZ,LAU,1090,30186337,16502232,826805,45861764,20,450000
24771,WALTERS,BRANDON,1090,4203390,9977211,677684,13502917,8,250000
24772,REID,SINGER,1090,19947032,14838975,528903,34257104,15,400000
24773,FIELDS,HATCH,1090,18378229,14141114,892814,31626529,15,400000
24774,WALSH,ROSSI,1090,30900613,19567912,534711,49933814,20,450000
24775,LITTLE,SHAFER,1090,12904257,13551584,228127,26227714,10,300000
24776,FOWLER,OTT,1090,7896672,8932147,156470,16672349,8,250000
24777,BOWMAN,GOSS,1090,29470979,2836151,300849,32006281,15,400000
24778,DAVIDSON,GREGG,1090,8842437,6490672,482935,14850174,8,250000
24779,MAY,DEWITT,1090,30970594,11167365,687527,41450432,20,450000
24780,DAY,TANG,1090,25589683,17732550,505257,42816976,20,450000
24781,SCHNEIDER,POLK,1090,26343912,17196841,732012,42808741,20,450000
24782,NEWMAN,WORLEY,1090,20449408,5250067,399989,25299486,10,300000
24783,BREWER,COVINGTON,1090,46996428,12993936,473854,59516510,20,450000
24784,LUCAS,SALDANA,1090,39177846,18431981,663965,56945862,20,450000
24785,HOLLAND,HELLER,1090,2644722,11556141,430544,13770319,8,250000
24786,WONG,EMERY,1090,21010424,3900487,672154,24238757,10,300000
24787,BANKS,SWARTZ,1090,31262497,15701244,651998,46311743,20,450000
24788,SANTOS,CHO,1090,36829411,11121966,893042,47058335,20,450000
24789,CURTIS,MCCRAY,1090,25718418,16139329,927685,40930062,20,450000
24790,PEARSON,ELMORE,1090,31975014,2278743,480201,33773556,15,400000
24791,DELGADO,ROSENBERG,1090,22752769,19403267,261437,41894599,20,450000
24792,VALDEZ,SIMONS,1090,26555171,2868598,790671,28633098,10,300000
24793,PENA,CLEMONS,1090,19392630,2012493,783872,20621251,10,300000
24794,RIOS,BEATTY,1090,20770420,11678166,729430,31719156,15,400000
24795,DOUGLAS,HARDEN,1090,41263550,8652683,878689,49037544,20,450000
24796,SANDOVAL,HERBERT,1090,49090938,6430869,325041,55196766,20,450000
24797,BARRETT,BLAND,1090,36953595,17748303,753372,53948526,20,450000
24798,HOPKINS,RUCKER,1090,20812315,6133162,537866,26407611,10,300000
24799,KELLER,MANLEY,1090,37576135,17227908,546074,54257969,20,450000
24800,GUERRERO,ZIEGLER,1090,19768734,13214326,360330,32622730,15,400000
24801,STANLEY,GRADY,1090,23773451,15772917,168307,39378061,15,400000
24802,BATES,LOTT,1090,14184168,13238361,539900,26882629,10,300000
24803,ALVARADO,ROUSE,1090,38048412,19269521,863747,56454186,20,450000
24804,BECK,GLEASON,1090,32789731,16981887,608821,49162797,20,450000
24805,ORTEGA,MCCLELLAN,1090,45558093,6636552,310604,51884041,20,450000
24806,WADE,ABRAMS,1090,22258987,4358283,822056,25795214,10,300000
24807,ESTRADA,VO,1090,40936232,10484753,383849,51037136,20,450000
24808,CONTRERAS,ALBRIGHT,1090,35209284,18527655,851103,52885836,20,450000
24809,BARNETT,MEIER,1090,14259143,18532629,717444,32074328,15,400000
24810,CALDWELL,DUNBAR,1090,27087671,6371652,22900,33436423,15,400000
24811,SANTIAGO,ACKERMAN,1090,16372655,3237371,338205,19271821,8,250000
24812,LAMBERT,PADGETT,1090,27763231,13839314,927362,40675183,20,450000
24813,POWERS,MAYES,1090,36154286,4651110,815501,39989895,15,400000
24814,CHAMBERS,TIPTON,1090,17152835,19471445,945663,35678617,15,400000
24815,NUNEZ,COFFMAN,1090,37369438,10053073,168427,47254084,20,450000
24816,CRAIG,PERALTA,1090,16810323,19859758,949828,35720253,15,400000
24817,LEONARD,SHAPIRO,1090,20101860,17132637,62681,37171816,15,400000
24818,LOWE,ROE,1090,25485434,19557665,954441,44088658,20,450000
24819,RHODES,WESTON,1090,20270417,19528700,59187,39739930,15,400000
24820,BYRD,PLUMMER,1090,43306837,15448807,566192,58189452,20,450000
24821,GREGORY,HELTON,1090,7475038,4524192,876222,11123008,6,200000
24822,SHELTON,STERN,1090,20925773,7291404,55415,28161762,10,300000
24823,FRAZIER,FRASER,1090,24514734,13808971,587549,37736156,15,400000
24824,BECKER,STOVER,1090,22265965,14113523,725384,35654104,15,400000
24825,MALDONADO,FISH,1090,41727937,17994073,672888,59049122,20,450000
24826,FLEMING,SCHUMACHER,1090,39423268,8304721,294211,47433778,20,450000
24827,VEGA,BACA,1090,16094071,4463955,392423,20165603,10,300000
24828,SUTTON,CURRAN,1090,31370597,19814858,796253,50389202,20,450000
24829,COHEN,VINSON,1090,31820644,13822569,565512,45077701,20,450000
24830,JENNINGS,VERA,1090,34657745,8754544,533335,42878954,20,450000
24831,PARKS,CLIFTON,1090,31009464,8031668,418144,38622988,15,400000
24832,MCDANIEL,ERVIN,1090,48852961,2762078,36064,51578975,20,450000
24833,WATTS,ELDRIDGE,1090,1614449,2198344,752062,3060731,4,100000
24834,BARKER,LOWRY,1090,5277056,13833627,340264,18770419,8,250000
24835,NORRIS,CHILDRESS,1090,47945728,1584094,226102,49303720,20,450000
24836,VAUGHN,BECERRA,1090,10999548,8138502,251001,18887049,8,250000
24837,VAZQUEZ,GORE,1090,30936793,18537428,527904,48946317,20,450000
24838,HOLT,SEYMOUR,1090,2816691,6789990,6399,9600282,6,200000
24839,SCHWARTZ,CHU,1090,46744212,4075650,636314,50183548,20,450000
24840,STEELE,FIELD,1090,4374600,15321749,661722,19034627,8,250000
24841,BENSON,AKERS,1090,2975843,19618625,413414,22181054,10,300000
24842,NEAL,CARRASCO,1090,21180905,11328175,22615,32486465,15,400000
24843,DOMINGUEZ,BINGHAM,1090,2602888,17836939,943639,19496188,8,250000
24844,HORTON,STERLING,1090,42405093,14506554,968700,55942947,20,450000
24845,TERRY,GREENWOOD,1090,47086734,7759922,836302,54010354,20,450000
24846,WOLFE,LESLIE,1090,18986939,9012829,840662,27159106,10,300000
24847,HALE,GROVES,1090,48421432,5075522,393626,53103328,20,450000
24848,LYONS,MANUEL,1090,32642451,6297603,979797,37960257,15,400000
24849,GRAVES,SWAIN,1090,26960110,4208909,954162,30214857,15,400000
24850,HAYNES,EDMONDS,1090,7609272,7861655,158101,15312826,8,250000
24851,MILES,MUNIZ,1090,35814002,12992974,71502,48735474,20,450000
24852,PARK,THOMSON,1090,26868407,1518721,405214,27981914,10,300000
24853,WARNER,CROUCH,1090,33105975,6020937,170878,38956034,15,400000
24854,PADILLA,WALDEN,1090,3490246,3565529,976654,6079121,5,150000
24855,BUSH,SMART,1090,7588254,3913426,319155,11182525,6,200000
24856,THORNTON,TOMLINSON,1090,21444435,17036137,831093,37649479,15,400000
24857,MCCARTHY,ALFARO,1090,13471286,5095543,168409,18398420,8,250000
24858,MANN,QUICK,1090,14406646,4789423,110442,19085627,8,250000
24859,ZIMMERMAN,GOLDMAN,1090,42329787,11771236,236722,53864301,20,450000
24860,ERICKSON,MCELROY,1090,28944283,13993570,280673,42657180,20,450000
24861,FLETCHER,YARBROUGH,1090,19988745,2595312,170041,22414016,10,300000
24862,MCKINNEY,FUNK,1090,23920370,19937384,228849,43628905,20,450000
24863,PAGE,HONG,1090,19467709,12223540,691954,30999295,15,400000
24864,DAWSON,PORTILLO,1090,40180132,2036017,860926,41355223,20,450000
24865,JOSEPH,LUND,1090,49457541,18104020,953490,66608071,30,500000
24866,MARQUEZ,NGO,1090,45963942,14496420,177263,60283099,30,500000
24867,REEVES,ELKINS,1090,13884772,7083295,653450,20314617,10,300000
24868,KLEIN,STROUD,1090,33766325,18425730,940282,51251773,20,450000
24869,ESPINOZA,MEREDITH,1090,23575190,17257663,417428,40415425,20,450000
24870,BALDWIN,BATTLE,1090,19756073,2379215,745106,21390182,10,300000
24871,MORAN,MCCAULEY,1090,3468962,7630560,721659,10377863,6,200000
24872,LOVE,ZAPATA,1090,34226278,8915869,10970,43131177,20,450000
24873,ROBBINS,BLOOM,1090,582334,15182421,423888,15340867,8,250000
